age,female,income,wealth
75,0,0,148642
70,1,9325,-1239
70,1,27335,156396
66,0,406775,454353
65,0,53010,230646
63,1,222579,-123599
63,0,85192,26953068
63,0,374259,334608
62,1,19415,-38764
60,0,344424,344140
59,1,0,-84506
57,1,0,3931
57,1,270910,470311
57,1,192383,367258
55,1,406371,-1204009
55,1,284538,68677
54,1,226931,221824
52,0,250000,-207679
52,1,0,10902
51,1,318080,452238
51,0,133607,14382
50,0,219338,19689
49,1,164843,67431
47,0,3366,-202402
47,0,674761,-186638
45,1,90896,-12011
45,1,279164,108132
44,1,0,202
44,1,187155,4045
44,0,335980,-941935
44,1,205216,-97983
42,1,186135,183088
40,1,155357,36819
40,0,2467525,-605329
39,0,611622,3074545
39,0,252329,-653518
39,1,194549,211462
37,1,150658,-21773
36,0,455574,628459
36,0,0,-120916
35,0,298191,-396469
34,1,321673,-97603
33,0,333070,-206572
33,0,1016647,-706124
33,0,216675,-175146
31,0,291271,-76814
31,0,345263,-1122667
30,1,363171,-853581
29,0,108200,-235899
29,0,53400,-24014
27,0,427585,405948
26,1,0,31318
25,1,131254,-11120
23,0,36125,3061
23,0,219142,-91407
20,0,126795,41577
19,1,86620,43825
16,1,0,0
15,0,0,0
14,0,0,0
12,0,0,0
12,1,0,0
12,1,0,0
12,1,0,0
11,0,0,0
11,0,0,0
11,1,0,0
10,0,0,0
9,1,0,0
8,1,0,0
6,1,0,0
5,0,0,0
5,0,0,0
3,1,0,0
1,0,0,0
1,1,0,0
0,0,0,0
76,0,0,4458053
72,0,0,337704
71,1,0,57776
69,1,0,203075
69,1,0,193232
67,1,0,7627
65,0,1980,-6544526
64,0,0,-214119
63,0,0,0
59,1,136733,74655
57,0,541192,488779
55,0,304437,1028905
55,0,165619,597793
53,0,288510,118058
52,0,279000,1464438
51,0,322861,78396
51,0,266887,244999
51,1,285851,2138295
51,0,200333,66321
50,1,48441,-10206
50,0,449964,1042468
49,0,433958,-362145
49,1,215432,83664
48,1,314353,24949
47,0,583076,-371218
47,1,269625,-319752
47,0,333047,141128
46,1,245694,244334
46,0,271818,-620314
43,0,321891,-300335
43,0,564430,506401
42,1,58374,-13269
40,1,123736,50824
39,0,195798,-76216
38,1,160943,4648
38,1,160751,16979
38,1,196740,368250
37,1,217831,413018
37,1,271636,142657
36,0,526882,-794247
36,1,172935,-15220
36,0,-17831,95736
34,1,110678,-435940
34,1,317120,-604807
34,0,281312,-332807
33,1,202281,353035
33,1,209670,-449072
33,0,394809,-942031
30,1,183143,-769494
22,0,60698,-105617
21,0,73846,1654
20,1,62347,-218518
19,0,50216,20747
18,1,14684,411913
18,1,49754,-12795
17,1,31543,6225
17,0,29999,35528
17,0,0,11297
16,0,0,0
14,0,0,33066
13,0,0,0
12,0,0,0
11,1,0,0
9,1,0,0
9,1,0,0
9,1,0,0
8,0,0,0
8,0,0,0
7,1,0,0
6,0,0,0
6,1,0,0
6,0,0,0
5,1,0,0
5,0,0,0
4,1,0,0
0,1,0,0
82,1,0,258891
78,0,0,644809
70,1,0,-90438
69,1,0,139733
67,0,77870,-306420
64,1,353052,252422
63,1,2058,255263
62,1,271065,0
60,1,415495,305851
58,1,76705,110739
58,0,1576033,-168625
57,0,2859,169262
55,0,409417,588266
54,1,383,114779
54,1,148692,243520
53,1,326486,204756
52,0,399372,614831
51,0,483500,-294828
48,1,97405,110547
47,0,133478,4480
47,0,260178,89841
46,1,263584,-1633
46,0,310813,279042
46,1,0,0
46,1,43234,20459
45,1,146674,-71095
44,0,398710,146993
44,1,107483,133004
43,0,452434,28911
43,0,7980,-103121
42,0,556417,-724978
41,1,266370,-156430
40,0,247003,256165
40,1,160511,67387
39,1,105075,17396
39,1,236846,-274747
39,1,247328,-78788
38,1,321137,-360457
36,0,394155,437418
35,0,139873,-646418
35,0,328806,-539756
35,1,57169,0
34,0,627532,115459
34,1,0,-12003
33,1,0,36091
31,0,61142,27355
30,0,191094,-393100
28,1,0,157271
28,0,26851,-141568
25,0,146350,-274181
25,1,82226,-19953
22,1,98485,273020
22,1,0,-139813
21,0,148841,-98436
20,1,28232,113109
17,1,0,4203
16,0,6516,0
14,1,0,0
9,0,0,0
6,1,0,0
5,0,0,0
5,1,0,0
5,1,0,0
4,0,0,0
4,0,0,0
3,0,0,0
3,1,0,0
2,0,0,0
0,0,0,0
81,0,0,268290
79,0,0,328095
73,0,0,1968799
73,0,0,-128906
71,0,107810,1620924
63,1,58220,254534
62,1,0,637214
61,0,18355,-79926
61,0,205431,564873
60,0,474300,-1239431
60,1,10690,84327
58,1,312896,44090
56,1,220000,747000
56,0,206804,115862
55,0,321433,188259
54,1,18830,53408
54,0,129018,-394750
53,1,479065,220284
53,0,508104,998554
53,0,767041,-121611
51,1,234944,575325
51,0,410772,-882323
51,0,288586,-326152
50,1,156736,65290
49,1,120120,86000
49,1,39768,473060
49,1,100000,475828
47,0,190985,19255
47,0,705529,-165656
47,0,0,67404
46,0,67306,332641
45,1,213268,5776
45,1,256294,-111267
45,1,274804,151718
45,0,235953,-295480
44,0,511179,-277265
43,1,202057,119706
42,0,227637,131959
42,1,298627,56077
39,0,221209,-235594
39,0,308795,-237251
37,1,633204,-511719
37,0,260912,87700
36,1,0,1355501
36,1,96919,56597
34,1,317947,-405219
33,1,110732,24539
29,0,316742,-132518
29,0,258862,471540
28,1,67565,-37825
28,1,187486,556805
27,0,330937,-169144
26,0,176508,23964
26,1,292654,-218351
23,0,78574,-118272
22,0,111342,-67432
20,0,200297,35995
19,0,69963,24171
19,1,101630,55
17,1,0,17004
17,1,28320,40
16,0,20039,0
16,1,5550,0
16,1,12700,0
16,1,22927,0
16,1,4250,0
15,0,8735,0
15,0,0,0
14,1,3147,0
14,1,8000,0
14,1,0,0
14,1,0,0
13,1,0,0
10,1,0,0
8,1,0,0
7,1,0,0
6,1,0,0
5,0,0,0
4,1,0,0
4,0,0,0
4,0,0,0
3,1,0,0
2,0,0,0
2,0,0,0
2,0,0,0
88,0,0,546650
78,1,0,103432
76,0,0,530347
72,1,0,74002
64,0,150082,133735
62,0,572052,332018
62,1,0,1351
61,1,112078,301116
60,0,122472,-194950
58,0,139252,743855
56,1,127294,6892
56,0,354384,1192534
55,1,0,541610
53,0,387199,-443115
53,1,0,168824
52,1,335451,392151
51,1,332736,111000
50,1,190116,-90343
48,0,338414,-867511
48,1,221843,271015
47,1,262927,-112683
47,1,144632,372843
47,1,136172,55490
47,1,200125,1151
46,1,121043,-411812
44,1,148859,3002
44,1,285769,-129070
44,1,130061,144
44,1,215879,-45686
43,0,239482,-511616
43,0,363388,376687
43,0,251345,247460
42,1,78655,-62689
40,1,10206,47505
40,0,426139,883518
37,1,138170,8
37,1,158554,3287
37,1,45997,-183549
36,1,212298,-849
35,1,213155,-296349
35,1,139128,2475994
32,0,0,59
32,0,317574,-682052
32,1,238429,-239682
31,1,269974,678403
30,1,230802,172503
30,0,236537,-791051
25,0,38762,310991
24,1,5532,-88438
21,0,6593,5320
21,1,69551,3095
20,0,140273,6275
19,0,15048,181
14,0,0,0
12,0,0,0
10,1,0,0
7,1,0,0
6,1,0,0
5,0,0,0
4,0,0,0
